grade,0,2,3,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40
O10,0,0,0,0,0,0,0,0,0,0,0,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90
O9,0,0,0,0,0,0,0,0,0,0,0,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90
O8,13888.50,14343.90,14645.40,14729.40,15106.50,15735.30,15882.00,16479.60,16651.80,17166.60,17911.80,18598.20,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90,18999.90
O7,11540.10,12076.20,12324.30,12522.00,12878.70,13231.80,13639.20,14045.70,14454.30,15735.30,16817.70,16817.70,16817.70,16817.70,16904.40,16904.40,17242.20,17242.20,17242.20,17242.20,17242.20,17242.20
O6,8751.30,9613.80,10245.00,10245.00,10284.30,10725.00,10783.50,10783.50,11396.40,12479.70,13115.40,13751.10,14112.90,14479.20,15188.70,15188.70,15408.30,15408.30,15408.30,15408.30,15408.30,15408.30
O5,7295.40,8218.20,8787.00,8894.10,9249.60,9461.40,9928.50,10271.70,10715.10,11391.30,11713.80,12032.70,12394.80,12394.80,12394.80,12394.80,12394.80,12394.80,12394.80,12394.80,12394.80,12394.80
O4,6294.60,7286.40,7773.60,7881.00,8332.20,8816.40,9420.00,9888.30,10214.40,10401.60,10509.90,10509.90,10509.90,10509.90,10509.90,10509.90,10509.90,10509.90,10509.90,10509.90,10509.90,10509.90
O3,5534.10,6273.90,6770.40,7382.70,7737.00,8125.50,8375.70,8788.20,9004.20,9004.20,9004.20,9004.20,9004.20,9004.20,9004.20,9004.20,9004.20,9004.20,9004.20,9004.20,9004.20,9004.20
O2,4782.00,5446.20,6272.40,6484.50,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70,6617.70
O1,4150.20,4320.00,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40,5222.40
O3E,0,0,0,7382.70,7737.00,8125.50,8375.70,8788.20,9137.10,9336.90,9609.60,9609.60,9609.60,9609.60,9609.60,9609.60,9609.60,9609.60,9609.60,9609.60,9609.60,9609.60
O2E,0,0,0,6484.50,6617.70,6828.00,7183.80,7458.90,7663.50,7663.50,7663.50,7663.50,7663.50,7663.50,7663.50,7663.50,7663.50,7663.50,7663.50,7663.50,7663.50,7663.50
O1E,0,0,0,5222.40,5576.70,5783.10,5993.70,6200.70,6484.50,6484.50,6484.50,6484.50,6484.50,6484.50,6484.50,6484.50,6484.50,6484.50,6484.50,6484.50,6484.50,6484.50
W5,0,0,0,0,0,0,0,0,0,0,0,10169.70,10685.70,11070.30,11495.10,11495.10,12070.80,12070.80,12673.50,12673.50,13308.30,13308.30
